DATE,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,GRC,HKG,IRL,ISR,ITA,JPN,NLD,NOR,NZL,PRT,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific
01/31/1990,-8.05%,5.77%,0.32%,-5.76%,8.77%,0.82%,0.09%,-5.45%,5.69%,3.39%,3.38%,,1.78%,-11.03%,,1.60%,7.43%,-1.37%,-6.62%,-6.21%,,-0.80%,4.04%,-0.21%,3.42%,5.19%,2.11%,-0.50%,6.86%
02/28/1990,-6.79%,8.28%,0.27%,-0.03%,3.87%,0.86%,-1.68%,-2.00%,1.96%,0.10%,0.30%,,-1.44%,-5.94%,,0.99%,0.80%,0.71%,-3.30%,0.83%,,1.66%,-6.06%,-1.35%,-0.09%,0.49%,0.34%,-1.28%,0.57%
03/31/1990,-8.25%,-10.74%,-0.02%,3.84%,1.29%,-2.91%,0.92%,-6.66%,1.31%,2.05%,-4.66%,,-2.92%,-6.79%,,-1.67%,-0.24%,0.63%,-2.80%,-6.63%,,1.09%,3.73%,-0.21%,-0.75%,-1.02%,-2.56%,0.00%,-0.51%
04/30/1990,1.89%,0.78%,3.50%,-1.21%,-2.98%,3.98%,-3.42%,5.06%,-0.64%,1.19%,-0.65%,,2.09%,14.45%,,0.31%,-7.89%,0.42%,-4.84%,3.86%,,-0.29%,0.17%,-2.46%,-3.59%,-4.24%,0.90%,-2.40%,-7.27%
05/31/1990,-2.23%,2.37%,-6.44%,0.74%,-5.91%,-1.27%,-2.59%,0.56%,-2.81%,1.72%,-1.00%,,1.43%,10.94%,,-2.91%,4.33%,1.85%,-2.65%,-2.07%,,-2.80%,-5.01%,-2.01%,0.68%,2.21%,-0.84%,-1.88%,3.98%
06/30/1990,13.64%,5.96%,3.64%,2.46%,4.29%,3.73%,0.08%,4.41%,-1.50%,3.91%,4.73%,,0.04%,0.89%,,2.30%,11.44%,2.86%,1.22%,-3.90%,,3.26%,1.29%,1.33%,5.97%,8.53%,3.92%,1.38%,11.18%
07/31/1990,0.92%,-1.44%,0.21%,-0.95%,2.42%,7.41%,2.66%,0.76%,2.68%,1.41%,4.30%,,1.12%,5.06%,,3.44%,5.97%,2.34%,-9.43%,-1.72%,,0.66%,0.28%,0.47%,3.25%,4.77%,3.64%,0.40%,5.65%
08/31/1990,3.21%,-2.06%,-1.52%,-1.14%,1.74%,3.53%,-2.56%,3.52%,-6.30%,2.04%,-1.10%,,0.65%,-14.67%,,0.18%,-6.09%,3.97%,-11.98%,-4.21%,,-2.86%,6.22%,-2.07%,-2.80%,-3.18%,0.78%,-2.03%,-5.62%
09/30/1990,-2.77%,2.13%,6.86%,-1.64%,-0.56%,3.96%,0.62%,-0.50%,7.13%,-0.12%,-5.04%,,0.75%,11.21%,,-4.21%,-2.19%,5.38%,-4.83%,0.76%,,2.15%,0.12%,0.05%,-1.13%,-1.75%,-1.18%,-0.03%,-2.10%
10/31/1990,-7.06%,-3.03%,5.16%,3.59%,0.22%,-0.26%,-2.45%,6.55%,2.26%,-0.52%,0.04%,,-0.44%,0.48%,,2.11%,-6.91%,-1.57%,1.05%,-2.51%,,0.14%,7.01%,-4.05%,-3.82%,-3.68%,0.47%,-3.67%,-6.69%
11/30/1990,4.74%,-4.61%,7.22%,3.34%,1.57%,0.64%,1.51%,5.09%,-3.34%,-1.37%,-5.61%,,0.48%,-13.42%,,-0.15%,-5.45%,1.94%,-6.48%,-13.28%,,4.69%,0.19%,-5.12%,-4.15%,-3.69%,-1.92%,-4.69%,-4.97%
12/31/1990,1.87%,4.01%,0.98%,3.41%,-0.58%,2.90%,1.25%,4.36%,8.29%,-1.25%,-0.01%,,0.44%,1.96%,,0.01%,-9.61%,0.91%,-8.25%,-3.75%,,-0.15%,-3.36%,-1.24%,-3.63%,-4.96%,0.57%,-1.02%,-8.91%
01/31/1991,6.85%,-10.61%,0.23%,2.96%,-4.51%,-6.36%,8.27%,-8.52%,-1.97%,-6.38%,-5.33%,,-2.64%,0.37%,,-2.29%,-4.93%,-7.04%,3.37%,6.66%,,-4.90%,-15.92%,-6.13%,-5.18%,-4.64%,-5.45%,-5.69%,-4.50%
02/28/1991,18.70%,-5.24%,-0.29%,-2.39%,-3.52%,-7.02%,0.88%,-8.24%,-15.61%,-1.06%,3.70%,,4.90%,-9.15%,,-2.80%,3.82%,0.00%,-2.82%,-6.17%,-17.52%,2.60%,4.93%,1.55%,1.99%,2.25%,-0.66%,1.39%,4.29%
03/31/1991,1.80%,3.14%,-3.93%,2.92%,-1.23%,-3.21%,-1.47%,-5.96%,-0.84%,-6.30%,-5.90%,,3.08%,-4.43%,,4.56%,2.57%,-5.02%,5.02%,-17.63%,-6.76%,-2.17%,-0.15%,1.44%,0.52%,0.01%,-4.22%,1.50%,2.46%
04/30/1991,14.24%,5.62%,2.32%,0.29%,3.59%,-4.18%,0.96%,3.24%,-2.33%,1.58%,8.07%,,1.05%,-6.40%,,0.09%,4.44%,-1.08%,-2.75%,8.94%,2.82%,-0.09%,3.72%,4.85%,4.36%,4.06%,3.36%,4.66%,4.64%
05/31/1991,2.16%,0.23%,1.38%,1.96%,-5.51%,-0.66%,0.23%,1.39%,5.90%,-4.20%,0.50%,,0.09%,-1.70%,,-0.10%,-4.19%,-1.97%,3.05%,-7.71%,-8.40%,0.54%,-3.17%,1.14%,-1.19%,-2.58%,-0.70%,1.17%,-3.84%
06/30/1991,-1.10%,-3.40%,-3.34%,0.26%,-0.70%,-2.63%,1.58%,-4.25%,-1.02%,0.14%,-5.88%,,2.33%,-8.30%,,-2.56%,3.12%,-4.59%,-1.14%,-1.40%,-2.44%,2.33%,-2.24%,2.56%,1.28%,0.48%,-3.68%,2.47%,2.95%
07/31/1991,1.35%,-7.95%,1.10%,0.78%,1.58%,0.71%,-1.12%,6.67%,-4.19%,-0.44%,-0.80%,,1.44%,12.74%,,0.94%,-6.06%,1.00%,0.31%,0.94%,2.29%,1.20%,-0.64%,0.31%,-1.88%,-3.28%,0.22%,0.33%,-5.50%
08/31/1991,7.89%,-1.37%,1.52%,2.03%,-1.90%,-2.28%,1.29%,-0.97%,2.20%,-2.12%,-0.34%,,5.05%,14.91%,,4.19%,-5.02%,0.61%,-5.27%,2.46%,5.82%,-0.77%,6.80%,1.32%,-1.09%,-2.63%,-0.41%,1.34%,-4.19%
09/30/1991,0.96%,-1.37%,1.77%,2.03%,1.25%,5.61%,5.56%,12.07%,3.11%,4.62%,10.68%,,5.28%,12.51%,,3.56%,-4.21%,5.06%,12.39%,-5.83%,2.55%,4.63%,-3.06%,2.87%,1.65%,0.82%,7.46%,2.84%,-3.63%
10/31/1991,11.84%,-14.03%,-5.68%,1.50%,-1.05%,-0.43%,-3.95%,3.73%,-9.15%,3.05%,2.63%,-22.69%,0.66%,-6.90%,,-3.08%,-2.48%,1.57%,1.71%,11.75%,-5.30%,-1.13%,0.69%,2.17%,0.47%,-0.60%,1.15%,2.15%,-1.80%
11/30/1991,1.27%,8.62%,4.11%,2.07%,0.50%,4.71%,3.63%,7.77%,-16.98%,4.85%,5.14%,9.48%,2.16%,-13.05%,,-2.48%,1.04%,-1.59%,2.82%,-1.30%,2.21%,-1.73%,-1.58%,2.62%,2.29%,2.08%,3.85%,2.60%,1.03%
12/31/1991,-0.69%,-2.97%,5.77%,-2.50%,2.11%,-0.97%,4.79%,1.80%,6.90%,0.01%,0.81%,-5.45%,0.12%,-18.64%,,2.29%,-4.09%,-0.62%,4.31%,0.34%,2.87%,0.87%,7.93%,-3.29%,-2.53%,-2.04%,0.72%,-3.25%,-3.76%
01/31/1992,-0.05%,0.45%,-2.88%,1.07%,-1.62%,-7.78%,-3.41%,-3.19%,-13.06%,-5.19%,-6.45%,-34.97%,-3.39%,10.21%,,-3.71%,-2.80%,-0.55%,-1.70%,3.91%,0.42%,1.65%,9.35%,5.36%,0.08%,-3.52%,-5.19%,5.20%,-2.63%
02/29/1992,5.39%,0.16%,-0.39%,-2.99%,-1.34%,-0.32%,4.84%,2.73%,26.66%,-5.66%,-1.68%,7.73%,-0.59%,-9.15%,,1.45%,-1.01%,-0.08%,-1.44%,23.84%,-1.09%,0.47%,7.39%,3.87%,1.04%,-0.92%,-1.17%,3.57%,-0.63%
03/31/1992,5.43%,1.42%,-0.03%,0.33%,-1.52%,1.42%,0.36%,3.11%,-9.86%,3.00%,-3.39%,5.53%,7.26%,9.38%,,-3.95%,-2.86%,-1.49%,-3.90%,0.26%,0.39%,-0.69%,2.25%,2.41%,0.13%,-1.54%,-0.91%,2.32%,-2.11%
04/30/1992,-8.73%,1.18%,2.03%,-1.18%,-3.31%,-3.67%,0.97%,-0.45%,-3.80%,-0.76%,-0.47%,-10.57%,4.90%,-3.66%,,-4.46%,-3.06%,1.27%,-9.52%,12.77%,1.46%,0.80%,-3.76%,-0.33%,-1.36%,-2.16%,-1.34%,-0.36%,-2.87%
05/31/1992,7.33%,-2.21%,-0.15%,-2.18%,-2.83%,0.39%,4.58%,-2.70%,1.79%,2.75%,10.91%,3.99%,13.95%,15.20%,,-3.79%,0.61%,-2.10%,9.25%,14.96%,10.16%,-0.17%,3.37%,1.13%,2.14%,2.94%,4.82%,0.99%,1.63%
06/30/1992,-4.66%,2.73%,-0.62%,2.06%,-0.21%,5.45%,1.66%,7.11%,0.63%,5.18%,4.78%,-5.10%,9.69%,-18.64%,,1.84%,3.54%,6.65%,1.79%,7.84%,0.77%,2.38%,11.07%,1.62%,2.93%,3.89%,4.55%,1.64%,3.45%
07/31/1992,2.03%,2.42%,1.21%,2.66%,-1.37%,1.21%,-1.87%,2.30%,5.14%,2.69%,-5.49%,7.43%,-12.13%,5.94%,,4.47%,-6.37%,4.81%,0.11%,7.83%,-6.49%,1.11%,1.57%,1.34%,-1.38%,-3.46%,-1.05%,1.40%,-6.06%
08/31/1992,-5.43%,-4.08%,4.11%,0.90%,0.25%,3.41%,9.47%,0.27%,9.81%,4.05%,1.25%,-0.91%,-6.70%,-2.04%,,0.41%,-9.33%,4.13%,0.67%,12.92%,10.58%,-3.80%,15.87%,1.04%,-1.35%,-3.30%,2.46%,1.03%,-8.76%
09/30/1992,8.23%,-5.32%,2.54%,-0.24%,1.50%,0.56%,-5.47%,-6.70%,-9.91%,-3.53%,-20.03%,7.18%,-3.66%,9.53%,,-8.63%,6.96%,-0.34%,-7.58%,12.23%,1.23%,-3.11%,7.19%,1.74%,0.46%,-0.50%,-9.34%,1.65%,6.37%
10/31/1992,4.87%,-0.60%,2.66%,1.59%,1.02%,-11.02%,-6.19%,-6.86%,4.24%,-1.64%,-7.59%,-2.09%,-0.24%,-10.41%,,-4.32%,-2.21%,3.27%,-8.98%,-1.02%,4.67%,-0.39%,-13.74%,-0.44%,-2.05%,-3.31%,-5.63%,-0.35%,-1.80%
11/30/1992,-0.70%,-0.67%,-1.73%,-2.70%,-1.66%,-7.47%,-3.53%,-4.23%,-2.19%,-3.09%,-6.69%,-11.26%,8.91%,-2.83%,,2.43%,-5.55%,-4.96%,-15.71%,-1.81%,-8.54%,3.67%,-12.49%,-0.49%,-2.78%,-4.68%,-5.26%,-0.58%,-4.39%
12/31/1992,2.86%,-0.32%,-0.45%,0.18%,1.41%,-1.26%,1.12%,3.65%,1.56%,-2.10%,6.36%,-3.14%,12.65%,7.37%,,-1.73%,7.41%,-2.63%,-16.50%,7.86%,1.58%,1.05%,8.16%,3.43%,4.28%,5.02%,2.21%,3.30%,7.39%
01/31/1993,-0.04%,-2.78%,0.63%,6.99%,12.13%,-2.18%,-2.36%,-5.46%,3.30%,0.63%,10.21%,-5.34%,4.85%,4.92%,,-0.96%,-2.70%,0.36%,18.90%,-0.66%,-1.57%,3.57%,-21.14%,7.81%,4.09%,0.85%,4.17%,7.77%,-2.09%
02/28/1993,12.63%,-7.39%,-0.20%,0.13%,-1.20%,1.14%,5.51%,0.72%,-0.96%,-5.61%,0.39%,-4.65%,4.95%,-14.81%,,-4.05%,5.08%,4.40%,21.41%,-11.14%,2.45%,11.89%,-3.09%,5.84%,4.20%,2.75%,-0.50%,5.61%,5.44%
03/31/1993,7.89%,-1.05%,7.37%,8.56%,3.68%,5.16%,-2.01%,-2.36%,-9.16%,5.54%,2.31%,-0.37%,10.89%,10.33%,,1.55%,4.28%,-5.35%,-13.77%,2.88%,-1.60%,-0.78%,1.95%,4.64%,4.27%,3.95%,2.53%,4.80%,4.70%
04/30/1993,-1.34%,2.78%,3.64%,3.76%,8.34%,2.91%,0.49%,7.83%,13.02%,8.38%,4.69%,-2.93%,16.55%,13.83%,,4.29%,6.28%,4.21%,22.31%,2.21%,5.06%,1.22%,3.27%,4.86%,5.42%,5.87%,5.32%,4.81%,6.38%
05/31/1993,3.39%,-3.55%,-5.48%,0.72%,-0.34%,0.02%,3.51%,-7.60%,15.33%,0.73%,-0.87%,-0.65%,17.63%,9.08%,,-0.32%,14.98%,3.64%,2.58%,5.68%,-15.52%,17.11%,0.06%,0.94%,5.48%,8.68%,-0.38%,0.93%,14.69%
06/30/1993,-0.37%,-5.46%,-8.41%,7.12%,-2.42%,-9.97%,-6.37%,-1.54%,-16.01%,-3.07%,1.68%,-10.06%,14.94%,-12.85%,,-1.17%,-1.64%,-7.24%,2.44%,1.87%,-4.01%,-5.07%,-7.84%,3.57%,0.77%,-1.18%,-2.55%,3.73%,-0.85%
07/31/1993,17.71%,0.87%,-3.74%,-2.75%,-3.38%,-3.60%,-1.54%,-0.59%,-5.33%,1.67%,0.86%,19.03%,-8.69%,24.27%,,-4.26%,-0.16%,-6.20%,12.50%,1.19%,-4.77%,5.95%,-12.99%,3.58%,1.31%,-0.35%,-0.93%,3.28%,0.15%
08/31/1993,19.02%,7.18%,1.10%,1.24%,3.53%,0.52%,2.31%,1.43%,7.30%,4.36%,4.10%,6.10%,0.22%,7.49%,,1.50%,0.88%,-0.13%,17.10%,7.39%,-1.27%,8.37%,7.07%,2.24%,2.19%,2.15%,3.16%,2.19%,1.63%
09/30/1993,3.41%,1.94%,-1.57%,-0.14%,1.36%,3.20%,2.24%,7.39%,7.36%,6.03%,4.39%,-5.71%,-5.68%,0.14%,,3.50%,3.92%,2.73%,-3.18%,-2.50%,0.83%,1.72%,7.29%,3.08%,3.34%,3.52%,4.09%,2.93%,3.39%
10/31/1993,10.23%,-2.63%,1.57%,-0.66%,-0.27%,-7.58%,4.24%,1.16%,3.30%,-0.45%,2.92%,-2.44%,-0.78%,3.01%,,1.34%,-2.44%,-0.02%,6.25%,-1.62%,1.18%,10.69%,-14.76%,3.26%,0.70%,-1.09%,-0.22%,3.07%,-1.67%
11/30/1993,-3.83%,-1.57%,0.70%,-6.19%,8.02%,-0.57%,3.09%,-1.16%,17.27%,-0.98%,-0.93%,9.94%,0.02%,24.12%,,4.36%,0.36%,0.02%,4.67%,-0.05%,1.73%,7.60%,-2.59%,-3.48%,-1.39%,0.07%,0.28%,-3.61%,0.32%
12/31/1993,8.99%,-5.51%,5.99%,1.06%,-1.89%,-1.82%,0.41%,3.37%,5.57%,0.31%,2.84%,11.35%,-1.64%,-2.85%,,4.01%,-3.95%,-0.44%,-1.89%,22.79%,-3.24%,30.23%,2.04%,1.29%,0.17%,-0.67%,1.22%,1.28%,-2.21%
01/31/1994,23.38%,4.62%,1.96%,-0.34%,-2.00%,5.83%,2.60%,-0.25%,20.20%,8.90%,10.05%,22.44%,-1.45%,-2.66%,,-3.13%,-3.01%,-0.10%,11.88%,-2.04%,-3.26%,-3.34%,8.48%,3.50%,2.54%,1.85%,6.52%,3.30%,-1.65%
02/28/1994,12.35%,0.95%,6.72%,-2.47%,0.80%,2.97%,-5.12%,0.19%,4.88%,6.36%,2.04%,-20.17%,0.33%,-2.66%,,6.87%,3.77%,1.50%,1.50%,6.40%,-8.01%,5.56%,8.22%,-1.24%,1.49%,3.35%,2.99%,-1.30%,3.99%
03/31/1994,-4.42%,0.92%,0.91%,-2.52%,-5.42%,0.41%,0.79%,2.61%,-4.56%,1.32%,-1.26%,10.71%,-6.49%,-1.98%,,0.37%,1.64%,4.63%,0.10%,-13.18%,3.90%,-4.58%,0.01%,-0.81%,-0.19%,0.22%,-0.07%,-0.90%,0.59%
04/30/1994,-3.22%,-1.64%,-7.04%,0.73%,-0.34%,1.24%,-3.08%,0.84%,7.62%,0.27%,1.56%,-3.40%,-0.69%,1.45%,,-2.34%,1.74%,0.32%,-3.39%,-1.86%,-1.08%,-2.20%,3.85%,-1.26%,0.11%,1.00%,0.64%,-1.15%,1.26%
05/31/1994,-3.06%,0.05%,-0.40%,-2.42%,4.56%,2.22%,-1.69%,2.62%,-3.17%,-0.94%,2.30%,-5.33%,-3.30%,-2.37%,,-0.62%,-0.98%,4.77%,-3.62%,-3.99%,-5.66%,2.01%,3.32%,0.90%,0.30%,-0.07%,1.68%,0.72%,-1.12%
06/30/1994,0.91%,0.95%,1.25%,-2.86%,1.65%,1.95%,-1.15%,0.71%,-4.07%,1.12%,-1.28%,-1.71%,-1.40%,-2.17%,,0.95%,5.59%,2.77%,-5.68%,-0.40%,-6.83%,-0.75%,-4.81%,1.50%,2.27%,2.77%,0.18%,1.27%,4.77%
07/31/1994,2.25%,2.46%,0.19%,-2.68%,-0.56%,-2.55%,-1.88%,1.20%,2.48%,-2.71%,-2.73%,6.95%,-6.82%,-7.68%,,-3.50%,0.61%,-3.04%,-3.43%,-1.73%,2.08%,-0.95%,0.83%,-0.74%,-0.75%,-0.76%,-2.23%,-0.84%,0.24%
08/31/1994,-2.03%,-3.65%,1.28%,-2.88%,1.08%,1.75%,7.65%,0.00%,-3.17%,3.38%,1.65%,3.07%,-1.82%,-0.56%,,1.30%,-1.43%,0.97%,6.23%,-7.29%,1.15%,3.70%,4.27%,-2.28%,-0.98%,-0.17%,1.83%,-2.31%,-1.35%
09/30/1994,5.85%,2.00%,0.66%,-1.25%,-0.50%,1.19%,2.28%,6.38%,-2.77%,2.93%,3.81%,1.27%,6.69%,7.05%,,1.69%,-0.50%,2.37%,-0.87%,0.95%,2.68%,-1.30%,-2.26%,3.84%,2.13%,1.05%,2.56%,3.58%,0.17%
10/31/1994,-5.28%,1.99%,-1.24%,-1.97%,-1.38%,1.01%,-2.04%,-0.19%,-2.61%,-2.05%,-4.70%,-2.37%,-4.74%,-4.51%,,1.21%,-0.65%,1.21%,3.06%,-0.39%,-1.59%,2.73%,3.98%,-2.00%,-1.59%,-1.33%,-1.82%,-2.00%,-0.97%
11/30/1994,0.80%,-2.27%,-2.91%,-3.00%,-2.15%,-5.48%,-5.30%,-8.56%,-1.42%,-8.88%,-4.70%,1.89%,-0.71%,-4.21%,,-1.50%,-0.11%,-1.92%,-4.44%,12.48%,-3.43%,-2.18%,-0.02%,-3.90%,-2.75%,-2.03%,-4.79%,-3.85%,-0.10%
12/31/1994,0.63%,-2.25%,1.27%,-0.97%,2.64%,-1.07%,1.21%,-0.25%,5.33%,5.06%,-2.24%,-5.56%,-1.17%,-4.17%,,2.78%,-1.36%,0.89%,11.34%,3.59%,-1.29%,-0.18%,5.42%,-3.06%,-1.52%,-0.55%,0.41%,-2.95%,-1.20%
01/31/1995,-2.71%,2.20%,1.55%,-2.13%,0.06%,1.11%,2.34%,-0.62%,-5.37%,2.51%,2.76%,-0.24%,-5.34%,3.21%,,-0.68%,-3.01%,4.27%,8.16%,-1.48%,-2.93%,-6.13%,4.57%,1.29%,-0.17%,-1.09%,2.08%,1.11%,-3.20%
02/28/1995,-2.55%,0.23%,2.11%,-0.49%,-2.08%,0.61%,3.94%,-5.44%,-5.47%,-1.51%,-4.54%,10.96%,-13.75%,-6.16%,,-0.49%,0.48%,8.01%,0.00%,-3.42%,-1.96%,-0.18%,4.99%,1.34%,0.08%,-0.75%,-1.36%,1.25%,-0.32%
03/31/1995,-1.41%,5.67%,4.51%,4.36%,4.68%,5.74%,3.44%,0.01%,3.88%,1.15%,-0.23%,5.04%,-3.35%,-13.52%,,3.10%,3.52%,5.88%,0.79%,11.07%,1.11%,2.38%,-2.43%,1.22%,2.04%,2.61%,2.01%,1.37%,2.95%
04/30/1995,-0.03%,-4.91%,1.90%,3.55%,0.55%,-0.30%,-2.96%,-3.90%,-2.02%,-2.48%,1.97%,-8.25%,0.38%,-2.72%,,-1.13%,-0.11%,-5.39%,7.67%,2.15%,23.93%,-1.04%,-1.47%,1.31%,0.52%,-0.02%,-0.22%,1.42%,-0.10%
05/31/1995,3.33%,-4.53%,-1.46%,-1.16%,1.73%,-3.08%,0.12%,-2.26%,-3.24%,0.34%,3.77%,-16.51%,-3.25%,3.26%,,-1.36%,0.01%,0.11%,4.66%,-0.82%,16.98%,-1.88%,-0.72%,1.44%,0.76%,0.30%,0.95%,1.31%,-0.07%
06/30/1995,-2.55%,-0.11%,2.43%,-3.10%,0.47%,1.91%,1.66%,1.92%,-3.77%,2.69%,2.11%,-5.49%,-1.83%,2.67%,,4.85%,-2.04%,1.36%,-1.96%,-1.24%,-1.84%,2.04%,-1.35%,1.84%,0.55%,-0.35%,1.89%,1.60%,-1.90%
