Date,Month,Year,MonthYear,Gold,Brent,Wheat,Soybean,Copper,KOSPI,IBOVESPA,MEXBOL,SSE,SENSEX,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,IRL,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific,Spot return of equal-weight commodities portfolio,Carry of equal-weight commodities portfolio,Aggregate backwardation/contango,FFRENCH_MKT-RF,FFRENCH_SMB,FFRENCH_HML,FFRENCH_RMW,FFRENCH_CMA,FFRENCH_RF,VIX_logret
2/23/2022,2,2022,22022,0.060146305,0.060102097,0.138690475,0.116701531,0.03141262,0.036844005,0.059566376,0.022652662,0.044671809,-0.014705139,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-0.009549187
1/31/2022,1,2022,12022,-0.017665507,0.159280211,-0.012402248,0.114872983,-0.031636685,-0.128314688,0.114363883,-0.045617986,-0.080370201,-0.005500007,-0.0106,-0.0099,0.016,-0.0079,0.0149,0.0105,0.078,-0.026,0.0306,0.0091,-0.0016,-0.0065,-0.1698,-0.0094,0.0302,-0.0018,0.0539,0.024,-0.0278,0.0158,-0.0045,0.0002,0.0074,0.0078,-0.0047,0.0102,0.070061652,-0.001242007,0.000340397,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.158943598
12/31/2021,12,2021,122021,0.030348749,0.097279204,-0.003884757,0.087644435,0.042447601,0.041803032,0.041753582,0.115784118,0.022390783,0.029244576,0.0144,-0.0367,0.0553,0.0208,0.0103,0.0015,0.026,-0.0307,-0.0377,-0.0139,-0.0054,0.012,-0.0204,0.0022,-0.0237,-0.0473,0.0168,-0.0671,0.0218,-0.0036,0.0353,0.02,-0.0034,-0.0057,0.0345,-0.0053,0.048421134,0.000571576,0.001116684,0.013212546,-0.002569833,0.01240348,0.018601872,0.017300005,0,-0.198376102
11/30/2021,11,2021,112021,-0.004980476,-0.178725282,0.001293243,-0.015083857,-0.020819628,-0.052872082,-0.013733191,-0.070566054,0.01109183,-0.040709084,-0.0459,0.0169,-0.0108,-0.001,0.0017,0.0353,0.055,0.0443,0.0007,0.0265,-0.0015,0.0209,0.0234,-0.0124,0.0104,0.0146,-0.0449,-0.012,0.035,-0.058,0.0056,0.0063,0.0074,0.0088,0.0053,0.0074,-0.043711586,-0.002069294,-0.000228442,-0.006692852,-0.007698848,-0.002315222,0.032956102,0.006254255,0,0.223288682
10/29/2021,10,2021,102021,0.014931089,0.071977037,0.063094509,-0.016253995,0.066004797,-0.024197881,-0.103591116,-0.002677863,0.000245919,-0.006721092,0.031,0.0375,-0.0007,-0.0016,-0.0004,-0.0166,0.003,-0.0069,0.0034,0.0059,0.0059,0.0204,0.0613,-0.0308,-0.0179,-0.0531,0.0231,0.0411,-0.0059,0.0047,0.0133,0.0073,-0.0013,-0.0039,0.0125,0.0021,0.039683439,0.000675105,-0.000835731,0.027999021,-0.01104828,-0.002226568,0.007252279,-0.005416692,0,-0.153242795
9/30/2021,9,2021,92021,-0.031745497,0.073030924,0.026184076,-0.033470195,-0.064171616,-0.065038078,-0.124644557,-0.062099475,0.009276918,0.009666952,0.0072,0.0535,-0.0388,0.0034,0.0194,-0.0242,0.027,-0.0118,-0.0285,0.0054,0.0067,0.032,-0.0456,0.035,-0.0159,-0.0074,0.0496,-0.0475,-0.0227,0.0063,-0.0226,-0.0122,0.0027,0.0021,-0.0212,0.0034,0.019654841,0.001340117,0.000940365,-0.019387744,0.005678028,0.022316148,-0.00892208,0.009315329,0,0.147406128
8/31/2021,8,2021,82021,-0.000314239,-0.0447436,0.004253817,-0.085550574,-0.027708869,-0.00636375,-0.024620536,0.035692397,0.042365193,0.108915475,-0.0105,-0.033,0.0732,-0.0148,-0.0014,0.0533,-0.0186,-0.0354,-0.0264,0.0256,-0.0047,0.0072,-0.0232,0.028,-0.0103,-0.0164,0.0522,0.0008,0.0315,-0.0048,0.0037,0.0038,0.0038,0.0114,0.0028,-0.0024,0.001700938,-0.001070508,0.002922819,0.01248903,-0.00293807,-0.000530636,-0.001582098,-0.006646509,0,-0.044067627
7/30/2021,7,2021,72021,0.024597396,0.015846099,0.046909163,-0.024610719,0.042380189,-0.047134925,-0.070497307,0.016812813,-0.05615358,0.002064158,-0.0177,0.0465,-0.0229,-0.0085,0.0105,-0.0022,0.0118,0.0518,-0.0301,0.0254,-0.0015,0.0308,-0.1603,-0.0131,0.0211,-0.0244,0.0435,0.0161,-0.0209,-0.0175,0.0376,0.0256,0.009,0.0036,0.0351,0.0187,0.01444083,0.006147711,0.002911048,0.005387901,-0.019844021,-0.007230881,0.023199952,-0.002202098,0,0.061543919
6/30/2021,6,2021,62021,-0.074421463,0.080486482,0.011985162,-0.054030923,-0.084963041,0.008599507,0.050811001,-0.013725784,-0.020318788,-0.014717731,-0.0097,0.0043,-0.0261,-0.0124,-0.0159,0.0123,0.0174,-0.0044,-0.0072,-0.018,-0.0002,-0.0043,0.202,0.0401,-0.0025,-0.0017,-0.0106,0.0108,0.0073,-0.0223,0.0026,0.0004,-0.0026,-0.0001,0.0017,-0.0036,0.006643632,0.00736432,0.004210833,0.011724129,-0.001159233,-0.033747172,-0.008872463,-0.003756456,0,-0.024793099
5/31/2021,5,2021,52021,0.074975254,0.030316446,-0.112494017,-0.02611788,0.043363972,0.024678945,0.092633268,0.070943845,0.064079278,0.082994259,-0.0046,0.0016,-0.0165,0.0525,0.0042,0.0564,0.0456,-0.0053,0.044,0.032,0.0431,0.0343,-0.0283,-0.0245,-0.0131,-0.0245,0.2209,-0.0309,0.0365,0.0276,-0.0075,0.0052,0.0225,0.0303,-0.0043,0.008,0.021545453,-0.001985492,0.002388597,0.001190214,0.005598862,0.029410555,0.009888969,0.012807687,0,-0.045472382
