Date,Sum of Mkt-RF2,Sum of SMB2,Sum of HML2,Sum of RMW2,Sum of CMA2,Average of RF
1/2/1990,-0.03525548,-0.006609591,0.004037332,-0.005454798,0.006875362,0.026
2/1/1990,0.004823682,0.004673645,0.002711146,-0.000619183,-0.002790718,0.03
3/1/1990,0.007739029,0.006627638,-0.012430761,0.008443347,-0.003925279,0.029
4/2/1990,-0.014774242,-0.00144031,-0.011766168,0.007931576,-0.004362495,0.034
5/1/1990,0.035089333,-0.009942395,-0.015684879,0.006190522,-0.006270856,0.031
6/1/1990,-0.004739242,0.005506626,-0.008512879,-0.004182884,-0.002137378,0.03
7/2/1990,-0.008309261,-0.014163411,-0.000356578,-0.000284406,0.013904043,0.032
8/1/1990,-0.046122678,-0.018645806,0.006416497,-0.001373012,0.013258839,0.028
9/4/1990,-0.027325622,-0.017693024,0.002299511,0.000380017,0.016580492,0.031
10/1/1990,-0.008277305,-0.023574801,-0.000837573,0.014185015,-0.002391765,0.03
11/1/1990,0.026610767,-0.00023176,-0.012209858,0.00197361,-0.019149188,0.027
12/3/1990,0.010490263,0.002581559,-0.006971842,0.011223539,-0.008035387,0.03
1/2/1991,0.019847245,0.015628905,-0.006834642,0.005360307,-0.017114369,0.023
2/1/1991,0.030037427,0.01577426,-0.00254134,-7.0436E-05,-0.001650179,0.025
3/1/1991,0.011292255,0.015696299,-0.005709966,-0.002073636,-0.004359849,0.022
4/1/1991,-0.00113826,0.000872478,0.006071972,0.003057016,0.003020208,0.024
5/1/1991,0.015565343,0.000312848,-0.002125531,0.008578557,-0.010315801,0.021
6/3/1991,-0.021965841,0.000977241,0.004974679,0.007971371,0.002936064,0.021
7/1/1991,0.017964835,-0.004247714,-0.005628719,0.006628457,-0.005891284,0.022
8/1/1991,0.010033368,0.005936925,-0.003117779,0.003459126,-0.001156833,0.021
9/3/1991,-0.006833466,0.006614263,-0.004925397,-0.007830079,-6.47409E-05,0.023
10/1/1991,0.005472265,0.003787742,-0.001899257,-0.007492046,-0.001013057,0.018
11/1/1991,-0.018659365,-0.00380335,-0.008794962,0.004753187,-0.000164182,0.02
12/2/1991,0.04473465,-0.0097909,-0.016386172,0.014079294,-0.012332273,0.018
1/2/1992,-0.002530834,0.038355136,0.019404721,-0.005065371,0.01297185,0.015
2/3/1992,0.004641132,0.005453044,0.026905753,0.000453471,0.009428446,0.015
3/2/1992,-0.011699468,-0.003944632,0.0154617,0.000160331,0.00849431,0.015
4/1/1992,0.004634814,-0.025029205,0.018661047,0.007360999,0.010334758,0.015
5/1/1992,0.001316517,0.000855148,0.004747455,-0.00414175,0.002021787,0.014
6/1/1992,-0.010279555,-0.012421638,0.01457705,-0.000365612,0.004101612,0.015
7/1/1992,0.016072336,-0.0027829,-0.002542306,0.005749578,-0.003616291,0.014
8/3/1992,-0.010458833,-0.001887638,-0.004702464,0.016478177,-0.007001143,0.012
9/1/1992,0.004998885,0.001822558,-0.001102831,0.006411467,-0.002807051,0.012
10/1/1992,0.004387358,0.008770944,-0.008522038,0.004802925,-0.003671109,0.01
11/2/1992,0.017493535,0.016198741,-0.005832932,-0.002622105,-0.006589539,0.012
12/1/1992,0.006702243,0.007076614,0.011126704,-0.001500065,0.003333203,0.013
1/4/1993,0.004012401,0.008116591,0.025096474,-0.008369714,0.012597453,0.012
2/1/1993,0.000495286,-0.015092824,0.027904923,-0.001238939,0.018042609,0.012
3/1/1993,0.009910263,3.68189E-05,0.004930513,-0.001072072,0.003714412,0.011
4/1/1993,-0.013327789,-0.003956204,0.011069846,-0.016118663,0.006312248,0.011
5/3/1993,0.01231384,0.00800437,-0.014987323,-0.000632714,-0.004434102,0.011
6/1/1993,0.001360391,0.000463056,0.01172601,-0.004184832,0.005088225,0.012
7/1/1993,-0.001567366,0.003716422,0.011968162,-0.007878527,0.009442396,0.011
8/2/1993,0.015931674,0.000458292,0.000705598,-0.006663853,0.000277294,0.011
9/1/1993,-0.000624992,0.012740562,-0.00162324,0.001251945,-0.000775621,0.012
10/1/1993,0.006110464,0.008154543,-0.011961666,0.002633271,0.002629418,0.011
11/1/1993,-0.008233753,-0.005360744,-0.002963744,0.00939288,-0.004607011,0.012
