Date,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS,HWI,HWIURATIO,CLF16OV,CE16OV,UNRATE,UEMPMEAN,UEMPLT5,UEMP5TO14,UEMP15OV,UEMP15T26,UEMP27OV,CLAIMSx,PAYEMS,USGOOD,CES1021000001,USCONS,MANEMP,DMANEMP,NDMANEMP,SRVPRD,USTPU,USWTRADE,USTRADE,USFIRE,USGOVT,CES0600000007,AWOTMAN,AWHMAN,HOUST,HOUSTNE,HOUSTMW,HOUSTS,HOUSTW,PERMIT,PERMITNE,PERMITMW,PERMITS,PERMITW,ACOGNO,AMDMNOx,ANDENOx,AMDMUOx,BUSINVx,ISRATIOx,M1SL,M2SL,M2REAL,BOGMBASE,TOTRESNS,NONBORRES,BUSLOANS,REALLN,NONREVSL,CONSPI,S&P 500,S&P: indust,S&P div yield,S&P PE ratio,FEDFUNDS,CP3Mx,TB3MS,TB6MS,GS1,GS5,GS10,AAA,BAA,COMPAPFFx,TB3SMFFM,TB6SMFFM,T1YFFM,T5YFFM,T10YFFM,AAAFFM,BAAFFM,TWEXAFEGSMTHx,EXSZUSx,EXJPUSx,EXUSUKx,EXCAUSx,WPSFD49207,WPSFD49502,WPSID61,WPSID62,OILPRICEx,PPICMM,CPIAUCSL,CPIAPPSL,CPITRNSL,CPIMEDSL,CUSR0000SAC,CUSR0000SAD,CUSR0000SAS,CPIULFSL,CUSR0000SA0L2,CUSR0000SA0L5,PCEPI,DDURRG3M086SBEA,DNDGRG3M086SBEA,DSERRG3M086SBEA,CES0600000008,CES2000000008,CES3000000008,UMCSENTx,DTCOLNVHFNM,DTCTHFNM,INVEST,VIXCLSx,Gold,Brent,Wheat,Soybean,Copper,KOSPI,IBOVESPA,MEXBOL,SSE,SENSEX,AUS,AUT,BEL,CAN,CHE,DEU,DNK,ESP,FIN,FRA,GBR,HKG,IRL,ITA,JPN,NLD,NOR,NZL,SGP,SWE,USA,Global,Global Ex USA,Europe,North America,Pacific,Spot return of equal-weight commodities portfolio,Carry of equal-weight commodities portfolio,Aggregate backwardation/contango,FFRENCH_MKT-RF,FFRENCH_SMB,FFRENCH_HML,FFRENCH_RMW,FFRENCH_CMA,FFRENCH_RF,VIX_logret
1/31/1992,0.004988804,0.002907552,0.014475742,0.019185127,0.018865896,-0.005255339,-0.009040157,-0.01195946,-0.009751444,-0.044054033,0.002006132,-0.017484778,-0.000529376,-0.004463453,0.000690533,-0.005653307,-0.033998752,-0.003833965,-0.6085,-140,-0.017904542,0.004702185,0.004349236,0,0.7,-0.021831751,0.004610755,0.056466612,0.034693745,0.076148063,-0.039636782,0.000378409,-0.002742376,-0.006664576,0.004294617,-0.004562295,-0.006783068,-0.001313389,0.0011846,-0.001446197,-0.002187287,-0.000467949,-0.001379416,0.002518151,40.2,0,40.6,7.069874128,5.017279837,5.673323267,6.118097198,5.634789603,6.981934677,4.844187086,5.572154032,6.045005314,5.579729826,,0.042360224,0.146647086,-0.003382061,-0.005876255,-0.030993378,0.00429353,0.000676516,0.001924298,-0.027972576,-0.038815244,0.003610108,-0.007743038,0.002064738,0.001069209,-0.000772256,0.06855864,0.074390216,-0.198460338,0.09289982,-0.4,-0.54,-0.27,-0.23,-0.23,0.05,-0.06,-0.11,-0.13,0.04,-0.23,-0.16,0.12,2.21,3,4.17,5.1,0.001109179,0.013192993,-0.020340669,-0.010010534,0.009028623,-0.001638671,-0.001662493,-0.004400249,0.01490408,0.104306915,-0.017861824,-0.002175225,0.003821755,-0.008812513,-4.30E-05,-0.004696675,0.001708669,-0.002025352,-0.002894879,-0.002219757,-0.002952032,-0.001137482,0.006380535,-0.005125046,-0.000999125,-0.003370552,-0.004383299,-0.003553189,-0.7,0.002782588,-0.013106217,-0.003199806,17.4995,0.002686463,0.030203638,0.084073155,0.03062143,0.010645341,0.103683635,0,0,0.06383981,0.184032273,-0.0005,0.0045,-0.0288,0.0107,-0.0162,-0.0778,-0.0341,-0.0319,-0.1306,-0.0519,-0.0645,-0.0339,0.1021,-0.0371,-0.028,-0.0055,-0.017,0.0391,0.0165,0.0935,0.0536,0.0008,-0.0352,-0.0519,0.052,-0.0263,0.016072983,0.002239963,0.007358826,-0.002530834,0.038355136,0.019404721,-0.005065371,0.01297185,0.015,-0.045233003
2/29/1992,0.004969049,0.005572261,0.001128294,0.002512045,0.000718837,0.007134413,0.009184932,0.011652272,0.010136382,0.041328395,-0.000462341,0.020129151,0.004581127,0.018748287,-0.00470927,0.008810345,0.025396145,-0.016017772,0.5236,108,0.006170679,-0.000424415,-0.001908956,0.1,0.6,-0.036258654,0.043959318,0.039095014,0.028132215,0.04870214,0.007262855,-0.000535352,-0.003201446,-0.00670929,-0.011854865,-0.000594036,-0.000100095,-0.001315117,0.000150878,4.52E-05,-0.000743204,0.000413367,0.000460017,5.35E-05,40.3,0,40.7,7.13089883,4.941642423,5.758901774,6.208590026,5.690359454,7.044032897,4.859812404,5.739792912,6.068425588,5.613128106,,0.002730018,-0.016192605,-0.006020672,0.001616919,0,0.001297666,0.00287943,0.003389211,0.001160782,-0.016201765,-0.008992806,0.001500281,-0.000399729,0.000422861,-0.000839389,-0.0084959,-0.00503933,0.034794773,0.012829316,0.03,0.04,0.04,0.06,0.14,0.34,0.31,0.09,0.1,0.05,-0.22,-0.13,0.23,2.52,3.28,4.23,5.17,0.020417132,0.036507551,0.017677008,-0.017397562,0.021713966,0.004911996,0.006633505,0.008798187,0.024536054,0.045621399,0.09221636,0.001443521,-0.000765402,0.003201921,0.000496543,0.003914509,-0.000858715,-0.000674038,0.001440402,0.00221484,0.001472754,0.001173049,0.000197997,0.004239498,0.000128368,0.002525607,-0.005835703,0.007989365,1.3,0.014532921,0.004706604,-0.002126769,17.0505,-0.00098891,-0.033616611,-0.092135214,0.01423388,0.043233026,-0.112959755,0.257491901,0,0.149366086,0.276669938,0.0539,0.0016,-0.0039,-0.0299,-0.0134,-0.0032,0.0484,0.0273,0.2666,-0.0566,-0.0168,-0.0059,-0.0915,0.0145,-0.0101,-0.0008,-0.0144,0.2384,0.0047,0.0739,0.0387,0.0104,-0.0092,-0.0117,0.0357,-0.0063,-0.008154561,-0.005880661,-0.001765773,0.004641132,0.005453044,0.026905753,0.000453471,0.009428446,0.015,-0.018353202
3/31/1992,0.001653129,0.000812147,0.001824067,0.004016846,-0.003000606,0.008093594,0.008416184,0.008894888,0.008975163,0.020308157,0.005027685,0.01179315,0.007694237,0.010767284,0.013818304,0.010017881,-0.009403881,0.004851274,0.6123,140,0.01461104,0.003116038,0.003315009,0,0.4,0.04037026,-0.052845106,0.004390098,-0.036518009,0.03856593,-0.029140527,0.00049844,-0.000677675,-0.002246471,0.001949529,-0.001427128,-0.002104315,-0.000438757,0.000800432,4.52E-05,-0.000508826,1.56E-05,0.000153292,0.001390226,40.2,0.1,40.7,7.167809184,4.919980926,5.793013608,6.269096284,5.717027701,6.986566459,4.812184355,5.579729826,6.098074282,5.517452896,0.044581015,0.046819601,0.093107098,-0.004805881,0.0038525,-0.03,-0.003772737,-0.004398354,-0.002448881,0.018917875,0.030542498,0.019963702,0.002369248,-0.001406815,-6.43E-05,-0.000498208,-0.012684334,-0.012359881,0.047815179,0.006893824,-0.08,0.19,0.2,0.25,0.34,0.37,0.2,0.06,0.02,0.32,0.06,0.2,0.65,2.97,3.56,4.37,5.27,0.025292026,0.035950592,0.039641115,-0.030845489,0.008672643,-0.001638671,-0.003316753,-0.002642782,-0.029630436,-0.013423314,-0.026707927,0.001434164,0.001523808,0.004810912,-0.00058425,0.001558832,0.002547031,0.001326667,0.000713468,0.00073067,0.001466263,-0.000111513,-0.002492219,0.001266152,-0.000198603,0.000836449,0.011669818,-0.003555534,7.2,-0.016313105,0.001663424,-0.003701536,16.2227,-0.03465729,0.033065495,-0.057671328,0.013779156,-0.012766921,-0.019547168,-0.159423818,0,0.044792085,0.242169661,0.0543,0.0142,-0.0003,0.0033,-0.0152,0.0142,0.0036,0.0311,-0.0986,0.03,-0.0339,0.0726,0.0938,-0.0395,-0.0286,-0.0149,-0.039,0.0026,-0.0069,0.0225,0.0241,0.0013,-0.0154,-0.0091,0.0232,-0.0211,0.00838356,-0.002880904,-0.007033912,-0.011699468,-0.003944632,0.0154617,0.000160331,0.00849431,0.015,-0.013217529
4/30/1992,0.003730319,0.002750595,0.000839383,0.006642007,0.006016521,0.007557191,0.007464887,0.007677117,0.009308883,0.018614115,0.006040626,0.009983887,0.007674005,0.006240822,0.001761496,0.005472033,0.041739395,0.006171626,0.2457,-104,-0.009558765,0.001855586,0.002384073,0,0.3,-0.034589018,0.007114936,-0.020867023,-0.032088315,-0.011928571,-0.026542402,0.001420114,0.000225943,-0.006284768,-0.003902867,0.001545963,0.000802166,0.002629658,0.001726286,0.000497321,-0.002312548,0.001472668,0.001378571,0.001281572,40.5,0,40.8,7.002155954,4.812184355,5.468060141,6.165417854,5.572154032,6.960347729,4.770684624,5.493061443,6.052089169,5.590986981,0.001647128,0.036364669,0.01040351,0.001939254,0.003350988,0,-0.004801911,-0.002381042,-0.003397535,-0.020674781,-0.130434942,-0.103202847,-0.001042523,0.00594228,-0.004493395,-0.001173251,0.000122734,-0.000680841,-0.000371169,0.023430647,-0.25,-0.26,-0.29,-0.31,-0.33,-0.17,-0.06,-0.02,-0.04,0.31,0.02,0.14,0.57,3.05,3.75,4.6,5.48,-0.003991883,0.006603299,0.00508105,0.018848966,-0.004537442,-6.67E-07,0.000827472,0.000876038,0.025575878,0.071968592,-0.011821281,-0.001446613,-0.006867619,0.000780495,-0.000573325,-0.002345275,-0.001710064,-1.11E-05,-8.25E-06,-8.65E-06,-0.000740409,0.000278758,0.002608763,-0.00215571,0.000777284,0.000830136,-0.005835702,0.001758993,1.2,0.037146874,-0.005843294,0.00084336,16.1885,-0.015780875,0.08046667,-0.017970534,-0.024087186,-0.017867544,0.01106213,0.014460889,0,0.147738597,-0.097297624,-0.0873,0.0118,0.0203,-0.0118,-0.0331,-0.0367,0.0097,-0.0045,-0.038,-0.0076,-0.0047,0.049,-0.0366,-0.0446,-0.0306,0.0127,-0.0952,0.1277,0.008,-0.0376,-0.0033,-0.0136,-0.0216,-0.0134,-0.0036,-0.0287,0.001706289,-0.003957492,-0.00453,0.004634814,-0.025029205,0.018661047,0.007360999,0.010334758,0.015,-0.017807062
5/31/1992,0.005328848,0.005492975,0.005145885,-0.008738495,0.005467423,0.003202242,0.005591494,0.005941523,0.006521843,0.030867104,-0.0021553,0.008215755,0.000198066,0.010043512,-0.00487866,0.005816002,-0.024722308,-0.008604523,0.2666,94,-0.000537935,0.002172215,-0.000430741,0.2,0.4,0.036053361,-0.011766939,0.095600582,0.056352937,0.125499221,-0.002034345,0.00119723,0.000135541,-0.004861458,0.000434405,0.000237628,0.000200441,0.000291758,0.001469049,-0.000678227,-0.002042621,-0.000116799,0.001835144,0.000746826,40.4,0.2,40.9,7.101675972,4.820281566,5.700443573,6.216606101,5.669880923,6.962243464,4.828313737,5.552959585,6.03787092,5.537334267,0.022714599,0.010803487,0.024212699,0.001911997,-0.000536042,-0.01,-0.000372134,0.00091103,-0.002463258,0.011671364,0.078442498,-0.033730159,0.001322984,-0.006730562,0.003654472,-0.000825064,0.018000535,0.012694351,-0.053946282,0.037698026,0.09,-0.16,-0.12,-0.12,-0.11,-0.09,-0.09,-0.05,-0.08,0.06,-0.19,-0.07,0.37,2.87,3.57,4.46,5.31,-0.012378391,-0.019069712,-0.020949612,0.029670442,0.009805233,0.002443327,0.003299649,0.00174518,0.011932337,-0.033948779,-0.008900005,-4.63E-06,0.011442559,-0.00240283,-0.001622835,0.001555813,-0.000851404,-0.000671699,-8.20E-06,-0.000739861,-4.82E-06,-0.001382393,-4.09E-05,0.000975557,-0.002552954,-0.002514316,-0.00072648,-0.000889976,2,-0.05294144,0.000206787,0.004605595,14.728,0.003413226,0.055885987,-0.06306211,0.066930087,0.012441809,-0.075954782,0.032497776,0,1.023127226,-0.25892667,0.0733,-0.0221,-0.0015,-0.0218,-0.0283,0.0039,0.0458,-0.027,0.0179,0.0275,0.1091,0.1395,0.152,-0.0379,0.0061,-0.021,0.0925,0.1496,-0.0017,0.0337,0.0113,0.0214,0.0294,0.0482,0.0099,0.0163,0.018341808,0.005112416,0.001985822,0.001316517,0.000855148,0.004747455,-0.00414175,0.002021787,0.014,-0.049408225
6/30/1992,0.004172542,0.004447193,0.002695897,0.010486644,0.002803833,0.000551891,-0.002479857,-0.003069877,-0.004941595,-0.013726891,-0.001804227,0.00260925,0.004365812,0.002426397,0.010693947,0.003212888,-0.040686081,-0.00382747,0.0538,-36,-0.012462956,0.002650268,0.000371631,0.2,0.4,0.029129673,0.007504055,0.087253314,0.096554735,0.080352833,0.003229088,0.000607276,-0.001718213,-0.011436165,-0.00457069,-0.000534743,-0.001303585,0.00058326,0.001201396,0.000135682,-0.001475637,0.000521598,0.001221561,0.000479808,40.3,-0.1,40.8,7.043159916,4.744932128,5.620400866,6.135564891,5.676753802,6.963189986,4.804021045,5.488937726,6.079933195,5.545177444,0.01092109,-0.024034359,-0.037075424,-0.00508533,0.006641569,0,-0.003294362,-0.001207603,-0.004407925,0.003548608,0.046503219,0.012320329,0.00173358,-0.003338692,-0.002723743,-0.00101402,-0.015891864,-0.018012577,0.047576421,-0.001930696,-0.06,0.04,0.03,0.02,-0.02,-0.21,-0.13,-0.06,-0.08,0.16,-0.1,0.01,0.41,2.72,3.5,4.46,5.29,-0.022243148,-0.045073995,-0.030556731,0.024888039,-0.00258862,0.000800108,-1.70E-05,0.001726927,-0.009300488,0.032430908,0.014143848,0.000709419,-0.003070206,0.001577854,0.000509591,0.001544946,-2.86E-06,-6.99E-06,0.000703339,0.000724845,0.000723795,0.000461227,-0.004109124,0.003188641,0.000237123,0.002500345,0.007956642,-0.000882978,1.2,0.045620731,0.00881246,-0.001321859,14.7531,0.017330438,-0.018447125,0,-0.021816054,0.079873772,-0.048223616,-0.517901743,0,-0.030601245,0.036716681,-0.0466,0.0273,-0.0062,0.0206,-0.0021,0.0545,0.0166,0.0711,0.0063,0.0518,0.0478,0.0969,-0.1864,0.0184,0.0354,0.0665,0.0179,0.0784,0.0238,0.1107,0.0162,0.0293,0.0389,0.0455,0.0164,0.0345,-0.001297555,-0.002526066,0.001764513,-0.010279555,-0.012421638,0.01457705,-0.000365612,0.004101612,0.015,-0.016281965
7/31/1992,-0.000796463,-0.001346416,0.00334203,0.013302983,0.007080015,0.009057817,0.010100578,0.011404824,0.01292057,0.02605679,0.008228938,0.010579495,0.007747705,0.011594875,0.000161109,0.009086719,0.009356338,0.003365931,0.5246,-20,0.003537323,0.000809269,0.002479633,-0.1,-0.1,-0.023002739,0.008154628,-0.039071709,-0.076215051,-0.012166739,0.055731194,0.000717215,-0.001041407,-0.00296199,-0.003058775,-0.000416109,-0.00200884,0.00189325,0.00116536,-0.001946539,-0.003649243,-0.001682545,-0.000152614,0.002927169,40.3,0,40.8,7.037905963,4.812184355,5.598421959,6.156978986,5.613128106,6.993015123,4.859812404,5.529429088,6.089044875,5.587248658,-0.003820086,-0.001988396,-0.010538904,-0.009268695,0.005652853,-0.01,0.005502079,0.001678547,-0.002687229,0.001999032,-0.008200042,0.004056795,-0.001061689,0.001749544,0.005742161,-0.000115377,0.016470275,0.010731488,-0.043680043,0.028567923,-0.51,-0.48,-0.45,-0.49,-0.57,-0.64,-0.42,-0.15,-0.21,0.19,-0.04,0.03,0.35,2.59,3.59,4.82,5.59,-0.023630003,-0.065465266,-0.007548394,0.033187948,-0.003014573,-0.004870796,-0.004110158,-0.00435806,-0.01287784,-0.094199858,0.009344016,-8.15E-06,0.000739537,-1.56E-05,0.000502264,-0.002332498,-2.85E-06,0.000650294,-0.000721615,-8.51E-06,-0.000734968,0.001515921,0.003612922,-0.002333687,0.002648445,-0.004169103,-0.015187332,-3.07E-06,-3.8,-0.00352309,-0.008543779,0.002639033,13.3036,0.041217956,0.002935423,-0.096813455,-0.074268041,0.027028672,-0.069429071,0.463233089,0,-0.116438325,-0.124774502,0.0203,0.0242,0.0121,0.0266,-0.0137,0.0121,-0.0187,0.023,0.0514,0.0269,-0.0549,-0.1213,0.0594,0.0447,-0.0637,0.0481,0.0011,0.0783,0.0111,0.0157,0.0134,-0.0138,-0.0346,-0.0105,0.014,-0.0606,-0.017572912,0.002039094,-0.000360531,0.016072336,-0.0027829,-0.002542306,0.005749578,-0.003616291,0.014,-0.005895491
8/31/1992,0.00386454,0.003805386,0.002468397,-0.016035603,0.003241242,-0.005448085,-0.001045499,-0.001087721,0.000564563,-0.008250263,0.003713904,-0.004997272,-0.011028519,-0.004933651,-0.014262913,-0.004900765,0.013512757,-0.048504425,-0.5949,68,0.008828805,0.000388839,0.000951423,-0.1,-0.1,-0.000581903,0.002820876,-0.00973176,0.010681009,-0.02430427,-0.083700811,0.001212578,-0.001314627,-0.006447902,0.00240411,-0.00214273,-0.001509282,-0.003060112,0.00185485,-0.000543897,-0.001621772,-0.000764311,0.001829827,0.00350133,40.3,0,40.8,7.111512116,4.709530201,5.783825182,6.169610732,5.743003188,6.980075941,4.820281566,5.537334267,6.052089169,5.605802066,-0.025341175,-0.017934563,-0.038359148,-0.010279137,0.001257242,0.02,0.001351556,0.001295392,-0.000704007,-0.003007742,0.001957728,0.008080808,-0.000367196,0.002776127,-0.000360002,-0.000413032,0.006914959,0.007607088,-0.01489465,0.014054942,0.05,-0.06,-0.08,-0.07,-0.13,-0.24,-0.25,-0.12,-0.19,0.08,-0.17,-0.09,0.17,2.3,3.29,4.65,5.35,-0.00947319,-0.028961094,0.002770985,0.013312465,-0.001426713,0.001621403,0,-0.001736865,-0.008897735,0.008941074,0.005408641,-0.00071808,-0.0075506,-0.003160181,-0.000549584,0.00076951,-2.84E-06,-0.000665886,-0.000715512,-8.46E-06,0.000720147,-0.001955808,-0.000683494,-0.00032213,-0.002859658,0.004160776,0.011575374,0.00086992,-0.5,-0.006336429,0.011633756,0.00033194,14.4223,-0.045303167,-0.029749343,0.007849334,-0.013083877,-0.027028672,0.099639421,-0.355391128,0,-0.242724534,0.101752446,-0.0543,-0.0408,0.0411,0.009,0.0025,0.0341,0.0947,0.0027,0.0981,0.0405,0.0125,-0.067,-0.0204,0.0041,-0.0933,0.0413,0.0067,0.1292,-0.038,0.1587,0.0104,-0.0135,-0.033,0.0246,0.0103,-0.0876,0.001502108,-0.012679641,-0.000563336,-0.010458833,-0.001887638,-0.004702464,0.016478177,-0.007001143,0.012,0.013313995
9/30/1992,-0.003826258,-0.004952702,0.006494441,0.013807836,0.009489988,0.002997144,-0.000839396,-0.002143587,-0.004780438,-0.00362334,-0.005186056,0.004047228,0.00786576,-0.000563644,0.013258508,0.001218457,-0.005793421,0.028671869,-0.0984,-91,-0.009119101,-0.000871209,-0.000892459,0,0.1,-0.002331003,0.014680445,-0.021178259,-0.077997435,0.018164935,0.023781757,0.000312093,-0.001134688,-0.00949928,0.000654665,-0.00131171,-0.001814151,-0.000583942,0.000678867,-4.53E-05,-0.002060672,0.00016383,0.002282585,-0.002863812,40.2,-0.1,40.7,7.07834158,4.828313737,5.579729826,6.257667588,5.613128106,7.01571242,4.844187086,5.568344504,6.102558595,5.627621114,0.026744638,0.002488368,0.033834021,-0.00695089,0.001665408,-0.02,0.003841092,0.00193511,0.00124203,0.005447093,0.017566738,0.028056112,0.005230961,0.001274664,-0.002301902,8.00E-05,0.001315145,0.005444733,0.001678766,0.004325309,-0.08,-0.14,-0.22,-0.25,-0.29,-0.22,-0.17,-0.03,-0.03,0.02,-0.31,-0.26,-0.04,2.16,3.2,4.7,5.4,0.008369289,-0.014449098,-0.029213455,-0.051147061,0.026356573,0.001617467,0.003276006,0.002604544,0.029537289,0.044501943,-0.043134133,-4.54E-06,0.002262727,-0.000787712,-2.21E-05,-5.36E-06,-2.83E-06,-0.000660679,-0.000710972,-0.000731741,-0.001454533,0.000295004,-0.00163077,-0.001346421,0.00133481,-0.004990301,-0.010868811,-0.003494215,-0.5,-0.008749734,-0.007363931,-0.008421804,14.2585,0.023122417,0.023378334,0.091107745,-0.017869891,-0.044405271,-0.090482242,0.117798027,0,-0.176108045,0.087920883,0.0823,-0.0532,0.0254,-0.0024,0.015,0.0056,-0.0547,-0.067,-0.0991,-0.0353,-0.2003,-0.0366,0.0953,-0.0863,0.0696,-0.0034,-0.0758,0.1223,-0.0311,0.0719,0.0174,0.0046,-0.005,-0.0934,0.0165,0.0637,0.012530675,0.002205818,-0.005148659,0.004998885,0.001822558,-0.001102831,0.006411467,-0.002807051,0.012,0.021828437
10/31/1992,-0.004923002,-0.005799704,0.003370976,0.004039263,0.007205384,0.007062789,0.008218601,0.01035131,0.013808693,0.021430466,0.011101708,0.003308955,0.005596509,0.012638859,-0.003672393,0.006107401,0.049015456,0.040044496,0.2997,55,0.017747904,-0.003703318,-0.000775233,-0.3,0.8,-0.021227212,-0.091500651,0.000285347,-0.06066949,0.038564593,-0.098721267,0.001650634,0.000408636,0.002675587,0.003484324,-0.000596801,-0.001514311,0.000729874,0.001964965,0.000725163,-5.95E-05,0.001364209,0.001367054,-5.31E-05,40.3,0.1,40.8,7.126087273,4.859812404,5.726847748,6.251903883,5.666426688,7.031741259,4.753590191,5.537334267,6.184148891,5.624017506,-0.02080242,0.053869688,0.016737969,0.005282953,0.000484467,0.01,0.001186303,0.000572946,-0.000289669,-0.003856116,0.00502834,0.033138402,-0.00451568,0.000185843,-0.003718152,-0.000355903,-0.014392893,-0.020944782,0.042121396,-0.016397857,-0.12,0.09,-0.05,0.08,0.12,0.22,0.17,0.07,0.22,0.23,-0.24,-0.06,0.2,2.5,3.49,4.89,5.74,0.024784939,0.030515544,-0.011745203,-0.110760634,0.018478522,0.001605722,0.000803967,-0.001736112,-0.020639553,-0.035345062,-0.017682665,0.002114873,0.003022862,0.008624122,0.001012245,-5.33E-06,0.000835052,0.003254544,0.003520373,0.001438289,0.00216319,0.001891641,0.002823255,0.00019583,0.002384863,0.004984773,0.013770535,0.002618182,-2.3,0.000791367,-0.007438823,0.001860383,17.4786,-0.026050677,-0.044742321,0.012061161,0.015596646,-0.03250536,0.185149542,-0.194752398,0,-0.33466375,-0.15206597,0.0487,-0.006,0.0266,0.0159,0.0102,-0.1102,-0.0619,-0.0686,0.0424,-0.0164,-0.0759,-0.0024,-0.1041,-0.0432,-0.0221,0.0327,-0.0898,-0.0102,-0.0039,-0.1374,-0.0044,-0.0205,-0.0331,-0.0563,-0.0035,-0.018,-0.018707071,-0.000147968,-0.001373739,0.004387358,0.008770944,-0.008522038,0.004802925,-0.003671109,0.01,0.053444319
