country,G20,G7,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n
Argentina,Yes,No,Argentine Peso,1990,196718.6875,204212.6875,32.618651,11.81147861,1850,2.529029608,163169.5938,180720.7969,192021.3125,199903,688641.75,0.013481494,0.576178432,0.514484227,447422.8438,332186.5313,357974.5938,1835794,0.441023618,0.11111515,0.02835162,0.487589083,0.763231933,0.797753751,0.766300261,Interpolated,Benchmark,Market-based,Regular,Regular,0.75183171,0.08779864,0.064412147,0.131424978,-0.040299237,0.004831746,0.714044631,1.118695021,1.33735621,0.470135689,0.506043851,0.84755224
Argentina,Yes,No,Argentine Peso,1991,236273.5469,240402,33.079,12.19068241,1837.960827,2.552567959,200487.75,226367.2344,230428.0625,233580.8906,820000.5625,0.015644016,0.609840453,0.588881075,494384.5313,378736.2813,416180.9063,1850989.625,0.441023618,0.146851197,0.028010527,0.953554417,0.869933724,0.892206967,0.880164206,Interpolated,Benchmark,Market-based,Regular,Regular,0.800738931,0.110794559,0.057583626,0.095888659,-0.064633295,-0.000372526,0.811022222,1.064756989,1.689137459,0.534648955,0.548135638,0.766410649
Argentina,Yes,No,Argentine Peso,1992,284181.9688,283126.8438,33.529326,12.38593483,1826,2.570973873,241315.0313,280507.4688,277157.0938,276399.125,1005502.375,0.018925767,0.626411378,0.631780326,545328.4375,430211.8438,483840.5,1889457.875,0.441023618,0.172413945,0.028030464,0.990641667,0.882692039,0.89454478,0.896997869,Interpolated,Benchmark,Market-based,Regular,Regular,0.799821258,0.141796574,0.073246017,0.094606452,-0.107984677,-0.001485685,0.842535675,0.967523992,1.32118535,0.46789062,0.497997493,0.658720732
Argentina,Yes,No,Argentine Peso,1993,326765.25,325027.75,33.970111,12.34501266,1850.337807,2.587059975,271769.5313,324415.375,318624.9063,316009.75,1246331.5,0.02310293,0.637170792,0.645310223,579420.625,454733.5625,519162.25,1940462,0.441023618,0.169041455,0.028373258,0.998945833,0.796500206,0.805251122,0.81191498,Interpolated,Benchmark,Market-based,Regular,Regular,0.759613037,0.166595653,0.100390583,0.085154973,-0.107827045,-0.003927207,0.757565916,0.850425184,1.09109962,0.487470895,0.492243707,0.557953537
Argentina,Yes,No,Argentine Peso,1994,381534,378639.9375,34.402672,12.41618156,1875,2.60324645,313372.2188,381858.375,370608.75,368028.5,1529539.875,0.027371701,0.657434344,0.672597587,613236.9375,478203.375,553414,2002753,0.431845158,0.181944907,0.028896619,0.999008333,0.755507886,0.753535867,0.758818924,Interpolated,Benchmark,Market-based,Regular,Regular,0.737463534,0.186089277,0.114025488,0.08589226,-0.113678455,-0.009792085,0.736832082,0.744512677,0.876294136,0.501051903,0.515837669,0.470615983
Argentina,Yes,No,Argentine Peso,1995,423577.25,424478.75,34.82817,11.8353138,1881.961138,2.619534492,340965.5,411440.4688,411558.5625,412709.9375,1785510.25,0.030741494,0.692481697,0.681981206,595788.8125,461052.5,524204.625,2044423.5,0.393929452,0.180345103,0.029290859,0.99975,0.68534416,0.67961514,0.677719116,Interpolated,Benchmark,Market-based,Regular,Regular,0.679032266,0.170761481,0.147130266,0.09481997,-0.089024417,-0.002719572,0.700797319,0.651897371,0.614025116,0.535673141,0.547657847,0.434807777
Argentina,Yes,No,Argentine Peso,1996,548493.6875,548784.875,35.246374,12.13721466,1888.94812,2.627023935,430066.0625,526521.375,530665.375,531039.1875,1927902.375,0.032253094,0.827817798,0.810443342,628716.125,484128.125,553757,2093007,0.366972715,0.200929031,0.029526846,0.9996625,0.567067027,0.555963814,0.55557245,Benchmark,Benchmark,Market-based,Regular,Regular,0.60299468,0.181635037,0.206862777,0.083731554,-0.082870178,0.007646152,0.646585107,0.506457984,0.33527568,0.535472155,0.539945602,0.403288245
Argentina,Yes,No,Argentine Peso,1997,568161,566384.25,35.657429,12.76251125,1895.961042,2.634534597,443913.6875,554267.5625,549969.5625,549191.0625,1980085.875,0.032137461,0.808930278,0.806251645,679711.625,523364.75,607394.5625,2158917.75,0.356873691,0.218073621,0.029947691,0.9995,0.594018221,0.577363908,0.57818234,Interpolated,Benchmark,Market-based,Regular,Regular,0.631054044,0.20093897,0.177250639,0.092566028,-0.106335416,0.004525716,0.650510788,0.510369599,0.392891377,0.519918859,0.519695222,0.397533476
Argentina,Yes,No,Argentine Peso,1998,570521.625,565211.8125,36.063459,13.35114288,1903,2.642066956,443735.5938,557873,549893.0625,548851,2011836,0.031575821,0.765735447,0.764201283,705881.75,541460.8125,631691.9375,2229118.25,0.369576484,0.209858879,0.030488897,0.9995,0.607726932,0.589451134,0.590570331,Interpolated,Benchmark,Market-based,Regular,Regular,0.648785174,0.207957,0.159695759,0.098313786,-0.115491599,0.000739806,0.643743515,0.518399894,0.461404681,0.489878774,0.495005429,0.401623309
Argentina,Yes,No,Argentine Peso,1999,534873.375,532079.6875,36.467218,13.46127415,1887.285006,2.649620771,429559.9063,527300.4375,516788.5938,518102.0938,1998675.375,0.030208683,0.715421557,0.707815945,681984.4375,534444.75,610685,2276613.25,0.391513795,0.184339225,0.030831242,0.9995,0.612148941,0.594847023,0.593338966,Interpolated,Benchmark,Market-based,Regular,Regular,0.674566627,0.1886511,0.154536217,0.094813012,-0.099302374,-0.013264557,0.631851971,0.518806994,0.526143014,0.474986166,0.495793074,0.410636336
