countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
GBR,United Kingdom,Pound Sterling,1950,499090.9688,523645.375,50.07424538,23.20790291,2183.943622,2.434504271,468524,543966.625,489859.6875,503021.4688,1391227.375,,,,609157.1875,490513.0313,574459.75,2162772.25,,,,0.551431835,0.229749337,0.0269491,0.357371403,0.079810806,0.078837499,0.076774679,Extrapolated,Extrapolated,Market-based,Regular,Outlier,,,0.759771168,0.149978936,0.171648324,0.152398407,-0.147597581,-0.086199276,0.081503913,0.072792947,0.072316557,0.074098781,0.089125335,0.045725707,
GBR,United Kingdom,Pound Sterling,1951,506361.5313,540520.25,50.23707585,23.55317307,2192.663847,2.444693804,471049.875,578318.875,499639.4375,518355.1875,1484036.5,,,,635156.0625,492840.4688,605507,2307417.25,,,,0.551431835,0.191195428,0.028688703,0.357271356,0.086880274,0.086428635,0.083308034,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.725177646,0.206941128,0.183561966,0.159157664,-0.172976032,-0.101862364,0.089346871,0.084445357,0.077135757,0.083894789,0.103975505,0.054953452,
GBR,United Kingdom,Pound Sterling,1952,512638.2188,538868.625,50.37692791,23.54019928,2160.85856,2.454926014,475408.5625,566071,508422.6563,520745.3438,1543488.125,,,,640130.4375,494954.4688,589486.625,2397405.5,,,,0.551431835,0.187004551,0.030023882,0.357271356,0.092547596,0.091735028,0.089564249,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.710645974,0.174101338,0.202292681,0.150459781,-0.152553439,-0.084946334,0.095248245,0.087474152,0.083060339,0.091014199,0.106462464,0.057746004,
GBR,United Kingdom,Pound Sterling,1953,543159.9375,566292.6875,50.53975457,23.65295982,2164.779889,2.465200901,497974.9688,600233.375,539570.75,550404.8125,1614384.25,,,,669658.625,516972.1875,624005.8125,2506864.25,,,,0.551431835,0.189750373,0.030775322,0.357371403,0.093926497,0.093133137,0.091299921,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.705537558,0.185787648,0.199205548,0.141739592,-0.145014033,-0.087256305,0.096735142,0.089269638,0.083978944,0.089671507,0.103494354,0.058466282,
GBR,United Kingdom,Pound Sterling,1954,563550.5,587976.5625,50.71157444,23.98725319,2168.931003,2.475518942,513206.0938,620094.4375,558228.3125,570292.625,1687838.625,0.142306253,0.753686488,0.819047928,689562.75,533869.125,646707.8125,2620023.5,0.141033351,0.717175424,0.642178237,0.551431835,0.191996068,0.031492818,0.357271356,0.096148707,0.095063195,0.093052171,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.708294988,0.187427208,0.191604629,0.142966062,-0.142811373,-0.087481521,0.098786846,0.089851283,0.086396426,0.089333847,0.104641214,0.058184057,1.181261539
GBR,United Kingdom,Pound Sterling,1955,585641.4375,611781.8125,50.89238371,24.24670601,2167.362952,2.485880136,529661.25,649669.0625,578483.3125,588934.5625,1777936.375,0.1465123,0.731505156,0.806306481,709619.375,552200.1875,679712.0625,2756356.5,0.149307743,0.713783979,0.652773023,0.551431835,0.183716491,0.032267977,0.357271356,0.099820159,0.099132024,0.097372815,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.715917945,0.203771099,0.183437124,0.141526252,-0.151508138,-0.093144231,0.102528088,0.096094914,0.089251645,0.095163994,0.108118251,0.06139956,1.106636167
GBR,United Kingdom,Pound Sterling,1956,601808,624797.1875,51.1301322,24.46224785,2153.779598,2.49860096,528825.875,653581.1875,592271.5,599574.5625,1863947.25,0.148889303,0.722958088,0.790973604,716726.5,555784.1875,686150.375,2887763.5,0.157245502,0.701403022,0.641105235,0.551431835,0.178602353,0.033071682,0.357371403,0.105819389,0.10454008,0.103266723,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.70250088,0.20807308,0.179500967,0.143690094,-0.147459596,-0.08630541,0.10812813,0.099117182,0.096783809,0.101334482,0.110796869,0.064291365,1.155375361
GBR,United Kingdom,Pound Sterling,1957,613594.8125,637094.25,51.37587551,24.49118805,2132.252318,2.511386871,533868.375,666447.3125,603895.1875,609784.375,1950897,0.152378321,0.71337539,0.784995973,725624.125,562631.875,699604.4375,3022975.25,0.165521711,0.695398033,0.640132904,0.551431835,0.174138308,0.033864338,0.357371403,0.110095009,0.108166434,0.107121781,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.700342596,0.217419341,0.175160959,0.142155632,-0.148382351,-0.08669614,0.112094387,0.10040047,0.102100939,0.105770975,0.113522135,0.065688156,1.123363972
GBR,United Kingdom,Pound Sterling,1958,620489.875,639945.375,51.597642,24.22674751,2102.453274,2.524238586,542992.3125,672924.1875,611598.75,615616.125,2023611,0.154585585,0.716513038,0.781257093,727962.375,572920.5,706340.125,3138801.5,0.172480807,0.692397654,0.64144057,0.551431835,0.16852349,0.034572016,0.35717131,0.113630474,0.111427896,0.110700749,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.710725427,0.211059868,0.171305239,0.13260226,-0.138941526,-0.086751267,0.115553513,0.102223217,0.10565199,0.109576389,0.115348384,0.067455441,1.129377007
GBR,United Kingdom,Pound Sterling,1959,642533.0625,662077.75,51.90132292,23.70984268,2112.238031,2.537155628,554198.4375,698148.1875,630232.3125,634981.3125,2108866,0.157387927,0.714505732,0.783818603,750903.875,589666.6875,735213.6875,3272734,0.180573136,0.704254448,0.658346772,0.551431835,0.172191754,0.035189848,0.357271356,0.117452092,0.113869593,0.113017969,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.703120828,0.226699173,0.169658303,0.130962208,-0.140834674,-0.089605868,0.119167782,0.100077167,0.110341705,0.110744879,0.117552765,0.066794299,1.058692455
GBR,United Kingdom,Pound Sterling,1960,672852.3125,694652.375,52.31688549,24.13194847,2103.583658,2.55013895,579612.25,744619.25,663360.125,657585.625,2213328.75,0.159346506,0.710786045,0.805511415,782240.3125,610083.6875,778653.3125,3447929.5,0.191391498,0.707432806,0.672333837,0.551431835,0.164459884,0.035943337,0.35717131,0.117868446,0.115206264,0.116217926,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.712948382,0.250928551,0.168476358,0.1338128,-0.171164557,-0.095001549,0.119192868,0.105854958,0.112263806,0.11726065,0.110340379,0.069809981,1.092711806
GBR,United Kingdom,Pound Sterling,1961,691273.875,712287.875,52.75142526,24.4053688,2066.811106,2.571570158,593124.625,757337.25,682126.3125,676164.9375,2321153.5,0.162607923,0.709214926,0.795719028,799091.5625,616090.4375,790802.1875,3622415.25,0.202061862,0.704520404,0.665672719,0.551431835,0.162733257,0.036617875,0.35717131,0.120777577,0.118783526,0.119830765,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.704320729,0.242858797,0.17286855,0.129386231,-0.158580169,-0.090854153,0.122248389,0.111581124,0.114785038,0.123124786,0.1151217,0.070898376,1.085887074
GBR,United Kingdom,Pound Sterling,1962,702065.5625,721434.6875,53.23591546,24.57999992,2029.04476,2.589919567,611288.875,765830.0625,691715.375,689227.5,2411722.75,0.161813051,0.701243997,0.780442536,813156.3125,632089.5625,801387.0625,3770085,0.210640445,0.705305576,0.663653612,0.551431835,0.161584273,0.036843307,0.35717131,0.124951117,0.123029485,0.123473562,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.712340593,0.224223733,0.174578205,0.12087132,-0.142782688,-0.089231193,0.12629275,0.115428425,0.119476773,0.132663459,0.127797276,0.072084576,1.053720951
GBR,United Kingdom,Pound Sterling,1963,728127.8125,749405.625,53.56856519,24.60893822,2020.596682,2.608399868,631987.3125,794257.6875,715870.5625,716701.9375,2505909,0.16120556,0.706976891,0.786866367,844606.6875,656632.625,832760.75,3922392.25,0.219711304,0.717230678,0.675181448,0.551431835,0.15586552,0.036790237,0.35717131,0.127835333,0.126053467,0.125907227,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.707137108,0.226412654,0.174662247,0.126543835,-0.14345032,-0.091305479,0.129135266,0.119113684,0.122572452,0.1307071,0.131271079,0.075563312,1.05495441
GBR,United Kingdom,Pound Sterling,1964,771741.4375,794482.8125,53.93418114,24.89732742,2020.83365,2.627012014,647026.125,852592.125,757224.9375,758724.6875,2653347.25,0.162056774,0.711679041,0.806261897,892023.1875,674816.5625,893026.1875,4161112,0.234260112,0.728397846,0.696229756,0.551431835,0.156909704,0.036909658,0.35717131,0.133208767,0.130248651,0.129991189,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.68344456,0.270936221,0.169336632,0.120021865,-0.149193078,-0.094546154,0.134695396,0.120931566,0.127208665,0.135521919,0.136379674,0.077392325,1.062334776
GBR,United Kingdom,Pound Sterling,1965,793697,815405.4375,54.29280068,25.15079117,1997.567956,2.64575696,659721.1875,866388.4375,779325.1875,778927.5,2792216.75,0.162982762,0.703372955,0.78487134,912767.875,686511.125,906936.9375,4386784,0.247798249,0.724523604,0.687329769,0.551431835,0.154391602,0.037107777,0.35717131,0.139866725,0.136323258,0.136392877,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.673857808,0.265322864,0.173103154,0.122640558,-0.146057591,-0.08886674,0.141585529,0.125011906,0.133175701,0.143520564,0.14184773,0.080052547,1.035410762
GBR,United Kingdom,Pound Sterling,1966,812602.1875,832909.75,54.58549541,25.30147362,1941.609751,2.664635658,676906.9375,882799,799290.125,799774.0625,2915983.75,0.16161266,0.701897562,0.774693847,930549.125,702297.6875,923026.5,4596009,0.260368586,0.728555799,0.689975321,0.551431835,0.148932412,0.037110366,0.35717131,0.144972414,0.141499937,0.141414315,Extrapolated,Extrapolated,Market-based,Regular,Regular,,,0.668891966,0.257437766,0.177480757,0.125340968,-0.142446309,-0.086705133,0.146857306,0.130083546,0.137868583,0.146251053,0.146333709,0.083766401,1.023866534
