countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
GBR,impo,Pound Sterling,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1970,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1971,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1972,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1973,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1974,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1975,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1976,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1977,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1978,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1979,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1980,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1981,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1982,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1983,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1984,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1985,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1986,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1987,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom,Pound Sterling,1988,,,,,,,,,,,,,,,,,,,,,,0.47014299,,,,,,,,,,,,,,,,,,,,,,,,,,
